4,23,0,0,0,0,0,0,21,0,0,0,0,0,0,2,-9,3,0,100,36,0,15,0,0,0,0,0,0
4,33,0,0,0,0,0,0,36,0,0,0,0,0,0,16,-10,5,0,100,26,0,7,0,0,0,0,0,0
4,23,0,0,0,0,0,0,23,0,0,0,0,0,0,23,-19,8,0,100,7,0,13,0,0,0,0,0,0
4,2,0,0,0,0,0,0,4,0,0,0,0,0,0,14,-9,5,0,100,0,0,26,0,0,0,0,0,0
4,7,0,0,0,0,0,0,113,0,0,0,0,0,0,22,-15,8,0,100,0,0,70,0,0,0,0,0,0
4,5,0,0,0,0,0,0,71,0,0,0,0,0,0,33,-9,3,0,100,0,0,25,0,0,0,0,0,0
4,29,0,0,0,0,0,0,29,0,0,0,0,0,0,43,-11,2,0,100,0,0,0,0,0,0,0,0,0
4,23,0,0,0,0,0,0,63,0,0,0,0,0,0,64,-21,7,0,100,0,0,33,0,0,0,0,0,0
4,51,0,0,0,0,0,0,87,0,0,0,0,0,0,8,-12,4,0,100,0,0,28,0,0,0,0,0,0
4,23,0,0,0,0,0,0,12,0,0,0,0,0,0,50,-12,3,0,100,0,0,30,0,0,0,0,0,0
4,6,0,0,0,0,0,0,52,0,0,0,0,0,0,29,-20,7,0,100,0,0,23,0,0,0,0,0,0
4,12,0,0,0,0,0,0,1,0,0,0,0,0,0,70,-10,4,0,100,0,0,13,0,0,0,0,0,0
4,23,0,0,0,0,0,0,7,0,0,0,0,0,0,8,-17,5,0,100,0,0,7,0,0,0,0,0,0
4,4,0,0,0,0,0,0,68,0,0,0,0,0,0,54,-8,0,0,100,0,0,61,0,0,0,0,0,0
4,2,0,0,0,0,0,0,18,0,0,0,0,0,0,31,-12,-2,0,100,0,0,53,0,0,0,0,0,0
4,37,0,0,0,0,0,0,10,0,0,0,0,0,0,10,-5,-2,0,100,0,0,20,0,0,0,0,0,0
4,21,0,0,0,0,0,0,110,0,0,0,0,0,0,29,-10,-3,0,100,0,0,13,0,0,0,0,0,0
4,28,0,0,0,0,0,0,30,0,0,0,0,0,0,39,-5,0,0,100,0,0,56,0,0,0,0,0,0
4,54,0,0,0,0,0,0,67,0,0,0,0,0,0,44,-6,0,0,100,0,0,39,0,0,0,0,0,0
4,52,0,0,0,0,0,0,9,0,0,0,0,0,0,37,-12,3,0,100,0,0,53,0,0,0,0,0,0
4,26,0,0,0,0,0,0,34,0,0,0,0,0,0,62,-6,0,0,100,0,0,43,0,0,0,0,0,0
4,27,0,0,0,0,0,0,15,0,0,0,0,0,0,62,-5,0,0,100,0,0,17,0,0,0,0,0,0
4,6,0,0,0,0,0,0,27,0,0,0,0,0,0,4,-9,0,0,100,0,0,12,0,0,0,0,0,0
4,70,0,0,0,0,0,0,14,0,0,0,0,0,0,15,-5,-1,0,100,0,0,1,0,0,0,0,0,0
4,2,0,0,0,0,0,0,45,0,0,0,0,0,0,57,-9,-1,0,100,0,0,17,0,0,0,0,0,0
4,16,0,0,0,0,0,0,39,0,0,0,0,0,0,16,-6,-2,0,100,0,0,17,0,0,0,0,0,0
4,2,0,0,0,0,0,0,19,0,0,0,0,0,0,7,-5,0,0,100,0,0,22,0,0,0,0,0,0
4,8,0,0,0,0,0,0,11,0,0,0,0,0,0,46,-14,0,0,100,0,0,65,0,0,0,0,0,0
4,19,0,0,0,0,0,0,20,0,0,0,0,0,0,3,-9,1,0,100,0,0,147,0,0,0,0,0,0
4,21,0,0,0,0,0,0,12,0,0,0,0,0,0,53,-18,4,0,100,0,0,65,0,0,0,0,0,0
4,23,0,0,0,0,0,0,22,0,0,0,0,0,0,74,-10,2,0,100,0,0,11,0,0,0,0,0,0
4,26,0,0,0,0,0,0,40,0,0,0,0,0,0,62,-21,6,0,100,0,0,2,0,0,0,0,0,0
4,6,0,0,0,0,0,0,33,0,0,0,0,0,0,9,-14,2,0,100,0,0,16,0,0,0,0,0,0
4,8,0,0,0,0,0,0,29,0,0,0,0,0,0,49,-21,3,0,100,0,0,39,0,0,0,0,0,0
4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,18,-13,0,0,100,0,0,0,0,0,0,0,0,0
4,14,0,0,0,0,0,0,6,0,0,0,0,0,0,30,-13,0,0,100,0,0,5,0,0,0,0,0,0
4,4,0,0,0,0,0,0,36,0,0,0,0,0,0,32,-14,1,0,100,0,0,14,0,0,0,0,0,0
4,8,0,0,0,0,0,0,16,0,0,0,0,0,0,23,-15,10,0,100,0,0,34,0,0,0,0,0,0
4,11,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-10,4,0,100,0,0,80,0,0,0,0,0,0
4,16,0,0,0,0,0,0,3,0,0,0,0,0,0,47,-19,9,0,100,0,0,9,0,0,0,0,0,0
4,49,0,0,0,0,0,0,57,0,0,0,0,0,0,44,-13,2,0,100,0,0,77,0,0,0,0,0,0
4,42,0,0,0,0,0,0,24,0,0,0,0,0,0,35,-23,16,0,100,0,0,49,0,0,0,0,0,0
4,31,0,0,0,0,0,0,31,0,0,0,0,0,0,11,-15,7,0,100,0,0,16,0,0,0,0,0,0
4,10,0,0,0,0,0,0,39,0,0,0,0,0,0,69,-12,8,0,100,0,0,0,0,0,0,0,0,0
4,45,0,0,0,0,0,0,21,0,0,0,0,0,0,123,-19,15,5,100,0,0,11,0,0,0,0,0,0
4,8,0,0,0,0,0,0,64,0,0,0,0,0,0,77,-18,2,23,100,0,0,85,0,0,0,0,0,0
4,63,0,0,0,0,0,0,78,0,0,0,0,0,0,94,37,3,0,100,0,0,94,0,0,0,0,0,0
4,64,0,0,0,0,0,0,29,0,0,0,0,0,0,82,0,29,0,100,0,0,4,0,0,0,0,0,0
4,4,0,0,0,0,0,0,6,0,0,0,0,0,0,399,-9,23,0,100,0,0,3,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,30,-3,23,0,100,0,0,42,0,0,0,0,0,0
0,16,0,0,0,0,0,0,11,0,0,0,0,0,0,127,-5,21,3,100,0,0,32,0,0,0,0,0,0
0,79,0,0,0,0,0,0,34,0,0,0,0,0,0,91,0,17,3,100,0,0,20,0,0,0,0,0,0
0,12,0,0,0,0,0,0,38,0,0,0,0,0,0,60,2,14,1,100,0,0,20,0,0,0,0,0,0
0,36,0,0,0,0,0,0,59,0,0,0,0,0,0,18,0,0,0,0,0,0,5,0,0,0,0,0,0
0,44,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,11,0,0,0,0,0,0,9,0,0,0,0,0,0,54,0,0,0,0,0,0,18,0,0,0,0,0,0
0,10,0,0,0,0,0,0,13,0,0,0,0,0,0,27,0,0,0,0,0,0,39,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0,0,0
0,11,0,0,0,0,0,0,14,0,0,0,0,0,0,43,0,0,0,0,0,0,1,0,0,0,0,0,0
0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,0,27,0,0,0,0,0,0
0,40,0,0,0,0,0,0,69,0,0,0,0,0,0,24,0,0,0,0,0,0,19,0,0,0,0,0,0
6,37,0,0,0,0,0,0,30,0,0,0,0,0,0,27,0,0,0,0,0,0,1125,0,0,0,0,0,0
6,10,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,78,0,0,0,0,0,0
6,62,0,0,0,0,0,0,32,0,0,0,0,0,0,26,0,0,0,0,0,0,39,0,0,0,0,0,0
6,2,0,0,0,0,0,0,40,0,0,0,0,0,0,42,0,0,0,0,0,0,83,0,0,0,0,0,0
6,24,0,0,0,0,0,0,39,0,0,0,0,0,0,58,0,0,0,0,0,0,33,0,0,0,0,0,0
6,6,0,0,0,0,0,0,15,0,0,0,0,0,0,52,0,0,0,0,0,0,50,0,0,100,14,0,0
6,7,0,0,0,0,0,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,12,-19,1,100,0,0,0
6,15,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,50,-11,0,100,0,0,0
6,24,0,0,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,0,0,0,-12,2,100,0,0,0
6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,70,0,0,0,0,0,0,8,-11,3,100,0,0,0
6,1,0,0,0,0,0,0,18,0,0,0,0,0,0,65,0,0,0,0,0,0,12,-23,5,100,0,0,0
6,2,0,0,0,0,0,0,58,0,0,0,0,0,0,42,0,0,0,0,0,0,60,-13,1,100,0,0,0
6,4,0,0,0,0,0,0,49,0,0,0,0,0,0,7,0,0,0,0,0,0,118,-6,-4,100,0,0,0
6,13,0,0,0,0,0,0,12,0,0,0,0,0,0,37,0,0,0,0,0,0,28,-8,3,100,0,0,0
6,9,0,0,0,0,0,0,25,0,0,0,0,0,0,33,0,0,0,0,0,0,87,-24,5,100,0,0,0
6,45,0,0,0,0,0,0,40,0,0,0,0,0,0,30,0,0,0,0,0,0,25,-12,2,100,0,0,0
6,73,0,0,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,65,-12,2,100,0,0,0
6,29,0,0,0,0,0,0,18,0,0,0,0,0,0,13,0,0,0,0,0,0,4,-21,1,100,0,0,0
6,14,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,0,0,0,102,-11,-4,100,0,0,0
6,11,0,0,0,0,0,0,40,0,0,0,0,0,0,49,0,0,0,0,0,0,63,-16,-4,100,0,0,0
6,32,0,0,0,0,0,0,38,0,0,0,0,0,0,38,0,0,0,0,0,0,42,-12,-3,100,0,0,0
6,14,0,0,0,0,0,0,25,0,0,0,0,0,0,43,0,0,0,0,0,0,7,-21,3,100,0,0,0
6,12,0,0,0,0,0,0,15,0,0,0,0,0,0,16,0,0,0,0,0,0,56,-9,-1,100,0,0,0
6,30,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,0,0,0,0,0,105,-6,2,100,0,0,0
6,24,0,0,0,0,0,0,36,0,0,0,0,0,0,2,0,0,0,0,0,0,12,-6,2,100,0,0,0
6,103,0,0,0,0,0,0,27,0,0,0,0,0,0,48,0,0,0,0,0,0,3,-17,5,100,0,0,0
6,47,0,0,0,0,0,0,29,0,0,0,0,0,0,8,0,0,0,0,0,0,46,-11,1,100,0,0,0
6,44,0,0,0,0,0,0,73,0,0,0,0,0,0,127,0,0,0,0,0,0,7,-18,5,100,0,0,0
6,44,0,0,0,0,0,0,81,0,0,0,0,0,0,41,0,0,0,0,0,0,15,-8,2,100,0,0,0
6,0,0,0,0,0,0,0,73,0,0,0,0,0,0,59,0,0,0,0,0,0,35,-16,7,100,0,0,0
6,3,0,0,0,0,0,0,5,0,0,0,0,0,0,25,0,0,0,0,0,0,6,-7,5,100,0,0,0
6,5,0,0,0,0,0,0,41,0,0,0,0,0,0,26,0,0,0,0,0,0,23,-14,8,100,0,0,0
6,13,0,0,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,0,0,60,-9,4,100,0,0,0
6,12,0,0,0,0,0,0,52,0,0,0,0,0,0,10,0,0,0,0,0,0,60,-10,5,100,0,0,0
6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,-20,10,100,0,0,0
6,59,0,0,0,0,0,0,63,0,0,0,0,0,0,23,0,0,0,0,0,0,20,-9,2,100,0,0,0
6,30,0,0,0,0,0,0,137,0,0,0,0,0,0,38,0,0,0,0,0,0,28,-9,3,100,0,0,0
6,8,0,0,0,0,0,0,8,0,0,0,0,0,0,33,0,0,0,0,0,0,76,-21,6,100,0,0,0
6,5,0,0,0,0,0,0,63,0,0,0,0,0,0,5,0,0,0,0,0,0,18,-14,1,100,0,0,0
6,86,0,0,0,0,0,0,8,0,0,0,0,0,0,35,0,0,0,0,0,0,23,-21,5,100,0,0,0
6,51,0,0,0,0,0,0,3,0,0,0,0,0,0,26,0,0,0,0,0,0,79,-10,0,100,0,0,0
6,3,0,0,0,0,0,0,22,0,0,0,0,0,0,25,0,0,0,0,0,0,58,-12,2,100,0,0,0
6,10,0,0,0,0,0,0,5,0,0,0,0,0,0,63,0,0,0,0,0,0,58,-24,5,100,0,0,0
6,22,0,0,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,97,-13,3,100,0,0,0
6,23,0,0,0,0,0,0,39,0,0,0,0,0,0,30,0,0,0,0,0,0,110,-23,6,100,0,0,0
6,1,0,0,0,0,0,0,132,0,0,0,0,0,0,10,0,0,0,0,0,0,25,-13,4,100,0,0,0
6,18,0,0,0,0,0,0,106,0,0,0,0,0,0,17,0,0,0,0,0,0,196,-28,9,100,0,0,0
6,28,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,19,-8,15,100,0,0,0
6,4,0,0,0,0,0,0,14,0,0,0,0,0,0,16,0,0,0,0,0,0,149,-8,40,100,0,0,0
6,17,0,0,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,1,-3,29,100,0,0,0
6,13,0,0,0,0,0,0,25,0,0,0,0,0,0,48,0,0,0,0,0,0,86,-1,35,100,0,0,0
6,52,0,0,0,0,0,0,32,0,0,0,0,0,0,22,0,0,0,0,0,0,70,0,37,100,0,0,0
6,58,0,0,0,0,0,0,38,0,0,0,0,0,0,61,0,0,0,0,0,0,1233,0,0,0,0,0,0
0,23,0,0,0,0,0,0,62,0,0,0,0,0,0,9,0,0,0,0,0,0,82,0,0,0,0,0,0
0,19,0,0,0,0,0,0,39,0,0,0,0,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0
0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,17,0,0,0,0,0,0,50,0,0,0,0,0,0
0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,31,0,0,0,0,0,0
0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,43,0,0,0,0,0,0,54,0,0,0,0,0,0
0,5,0,0,0,0,0,0,30,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,0,0,0,0,0,0,90,0,0,0,0,0,0,3,0,0,0,0,0,0,57,0,0,0,0,0,0
0,41,0,0,0,0,0,0,77,0,0,0,0,0,0,23,0,0,0,0,0,0,19,0,0,0,0,0,0
0,52,0,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0
0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0
0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,15,0,0,0,0,0,0,99,0,0,0,0,0,0
0,82,0,0,0,0,0,0,23,0,0,0,0,0,0,70,0,0,0,0,0,0,63,0,0,0,0,0,0
0,39,0,0,0,0,0,0,28,0,0,0,0,0,0,37,0,0,0,0,0,0,32,0,0,0,0,0,0
0,23,0,0,0,0,0,0,61,0,0,0,0,0,0,3,0,0,0,0,0,0,42,0,0,0,0,0,0
0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0
0,27,0,0,0,0,0,0,10,0,0,0,0,0,0,20,0,0,0,0,0,0,23,0,0,0,0,0,0
0,26,0,0,0,0,0,0,10,0,0,0,0,0,0,19,0,0,0,0,0,0,23,0,0,0,0,0,0
0,9,0,0,0,0,0,0,63,0,0,0,0,0,0,33,0,0,0,0,0,0,19,0,0,0,0,0,0
0,24,0,0,0,0,0,0,15,0,0,0,0,0,0,19,0,0,0,0,0,0,69,0,0,0,0,0,0
0,41,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
0,3,0,0,0,0,0,0,82,0,0,0,0,0,0,41,0,0,0,0,0,0,38,0,0,0,0,0,0
0,31,0,0,0,0,0,0,31,0,0,0,0,0,0,32,0,0,0,0,0,0,12,0,0,0,0,0,0
0,18,0,0,0,0,0,0,71,0,0,0,0,0,0,84,0,0,0,0,0,0,18,0,0,0,0,0,0
0,42,0,0,0,0,0,0,94,0,0,0,0,0,0,79,0,0,0,0,0,0,91,0,0,0,0,0,0
0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,6,0,0,0,0,0,0,123,0,0,0,0,0,0
0,21,0,0,0,0,0,0,9,0,0,0,0,0,0,29,0,0,0,0,0,0,36,0,0,0,0,0,0
0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,26,0,0,0,0,0,0,56,0,0,0,0,0,0
0,11,0,0,0,0,0,0,26,0,0,0,0,0,0,22,0,0,0,0,0,0,65,0,0,0,0,0,0
0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,76,0,0,0,0,0,0
0,12,0,0,0,0,0,0,28,0,0,0,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0
0,61,0,0,0,0,0,0,43,0,0,0,0,0,0,12,0,0,0,0,0,0,62,0,0,0,0,0,0
0,52,0,0,0,0,0,0,26,0,0,0,0,0,0,21,0,0,0,0,0,0,47,0,0,0,0,0,0
0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,54,0,0,0,0,0,0,88,0,0,0,0,0,0
0,78,0,0,0,0,0,0,22,0,0,0,0,0,0,6,0,0,0,0,0,0,54,0,0,0,0,0,0
0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,119,0,0,0,0,0,0,1,0,0,0,0,0,0
0,6,0,0,0,0,0,0,55,0,0,0,0,0,0,46,0,0,0,0,0,0,20,0,0,0,0,0,0
0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,55,0,0,0,0,0,0,5,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,101,0,0,0,0,0,0
0,24,0,0,0,0,0,0,34,0,0,0,0,0,0,28,0,0,0,0,0,0,16,0,0,0,0,0,0
0,13,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,0,36,0,0,0,0,0,0
0,20,0,0,0,0,0,0,27,0,0,0,0,0,0,6,0,0,0,0,0,0,32,0,0,0,0,0,0
0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,12,0,0,0,0,0,0,31,0,0,0,0,0,0
0,3,0,0,0,0,0,0,27,0,0,0,0,0,0,10,0,0,0,0,0,0,49,0,0,0,0,0,0
0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0
0,11,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0
0,38,0,0,0,0,0,0,44,0,0,0,0,0,0,15,0,0,0,0,0,0,81,0,0,0,0,0,0
0,143,0,0,0,0,0,0,95,0,0,0,0,0,0,46,0,0,0,0,0,0,1,0,0,0,0,0,0
0,96,0,0,0,0,0,0,75,0,0,0,0,0,0,51,0,0,0,0,0,0,41,0,0,0,0,0,0
0,26,0,0,0,0,0,0,8,0,0,0,0,0,0,34,0,0,0,0,0,0,4,0,0,0,0,0,0
0,9,0,0,0,0,0,0,51,0,0,0,0,0,0,66,0,0,0,0,0,0,41,0,0,0,0,0,0
0,3,0,0,0,0,0,0,81,0,0,0,0,0,0,38,0,0,0,0,0,0,57,0,0,0,0,0,0
0,84,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,0,0
0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,0,0
0,29,0,0,0,0,0,0,46,0,0,0,0,0,0,42,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,25,0,0,0,0,0,0,3,0,0,0,0,0,0
0,17,0,0,0,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,30,0,0,0,0,0,0
0,20,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,32,0,0,0,0,0,0
0,24,0,0,0,0,0,0,43,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0
0,122,0,0,0,0,0,0,60,0,0,0,0,0,0,78,0,0,0,0,0,0,91,0,0,0,0,0,0
0,49,0,0,0,0,0,0,6,0,0,0,0,0,0,49,0,0,0,0,0,0,42,0,0,0,0,0,0
0,23,0,0,0,0,0,0,83,0,0,0,0,0,0,16,0,0,0,0,0,0,31,0,0,0,0,0,0
0,31,0,0,0,0,0,0,47,0,0,0,0,0,0,17,0,0,0,0,0,0,18,0,0,0,0,0,0
0,24,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,75,0,0,0,0,0,0
0,29,0,0,0,0,0,0,75,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
0,30,0,0,0,0,0,0,88,0,0,0,0,0,0,27,0,0,0,0,0,0,26,0,0,0,0,0,0
0,55,0,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,35,0,0,0,0,0,0
0,28,0,0,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,0,0,10,0,0,0,0,0,0
0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,33,0,0,0,0,0,0,16,0,0,0,0,0,0
0,14,0,0,0,0,0,0,42,0,0,0,0,0,0,10,0,0,0,0,0,0,27,0,0,0,0,0,0
0,25,0,0,0,0,0,0,13,0,0,0,0,0,0,17,0,0,0,0,0,0,10,0,0,0,0,0,0
0,27,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,0,0,0,0,0,7,0,0,0,0,0,0
0,8,0,0,0,0,0,0,51,0,0,0,0,0,0,22,0,0,0,0,0,0,46,0,0,0,0,0,0
0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,0,0,0
0,23,0,0,0,0,0,0,37,0,0,0,0,0,0,6,0,0,0,0,0,0,73,0,0,0,0,0,0
0,16,0,0,0,0,0,0,27,0,0,0,0,0,0,36,0,0,0,0,0,0,70,0,0,0,0,0,0
0,14,0,0,0,0,0,0,16,0,0,0,0,0,0,29,0,0,0,0,0,0,16,0,0,0,0,0,0
0,5,0,0,0,0,0,0,22,0,0,0,0,0,0,27,0,0,0,0,0,0,17,0,0,0,0,0,0
0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,44,0,0,0,0,0,0,50,0,0,0,0,0,0
0,3,0,0,0,0,0,0,32,0,0,0,0,0,0,76,0,0,0,0,0,0,45,0,0,0,0,0,0
0,66,0,0,0,0,0,0,4,0,0,0,0,0,0,34,0,0,0,0,0,0,87,0,0,0,0,0,0
0,44,0,0,0,0,0,0,16,0,0,0,0,0,0,32,0,0,0,0,0,0,18,0,0,0,0,0,0
0,31,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,0,38,0,0,0,0,0,0
0,56,0,0,0,0,0,0,89,0,0,0,0,0,0,52,0,0,0,0,0,0,94,0,0,0,0,0,0
0,8,0,0,0,0,0,0,59,0,0,0,0,0,0,54,0,0,0,0,0,0,68,0,0,0,0,0,0
0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,30,0,0,0,0,0,0,34,0,0,0,0,0,0
0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,33,0,0,0,0,0,0,11,0,0,0,0,0,0,58,0,0,0,0,0,0
0,3,0,0,0,0,0,0,23,0,0,0,0,0,0,2,0,0,0,0,0,0,50,0,0,0,0,0,0
0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,77,0,0,0,0,0,0
0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,29,0,0,0,0,0,0
0,49,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,13,0,0,0,0,0,0
0,28,0,0,0,0,0,0,32,0,0,0,0,0,0,13,0,0,0,0,0,0,57,0,0,0,0,0,0
0,60,0,0,0,0,0,0,78,0,0,0,0,0,0,19,0,0,0,0,0,0,10,0,0,0,0,0,0
0,51,0,0,0,0,0,0,139,0,0,0,0,0,0,109,0,0,0,0,0,0,37,0,0,0,0,0,0
0,118,0,0,0,0,0,0,46,0,0,0,0,0,0,80,0,0,0,0,0,0,53,0,0,0,0,0,0
0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0
0,28,0,0,0,0,0,0,7,0,0,0,0,0,0,47,0,0,0,0,0,0,39,0,0,0,0,0,0
0,25,0,0,0,0,0,0,66,0,0,0,0,0,0,56,0,0,0,0,0,0,13,0,0,0,0,0,0
0,42,0,0,0,0,0,0,8,0,0,0,0,0,0,42,0,0,0,0,0,0,18,0,0,0,0,0,0
0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,0,0
0,36,0,0,0,0,0,0,47,0,0,0,0,0,0,40,0,0,0,0,0,0,20,0,0,0,0,0,0
0,14,0,0,0,0,0,0,43,0,0,0,0,0,0,50,0,0,0,0,0,0,31,0,0,0,0,0,0
0,40,0,0,0,0,0,0,81,0,0,0,0,0,0,4,0,0,0,0,0,0,66,0,0,0,0,0,0
0,34,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,35,0,0,0,0,0,0
0,6,0,0,0,0,0,0,76,0,0,0,0,0,0,54,0,0,0,0,0,0,55,0,0,0,0,0,0
0,13,0,0,0,0,0,0,19,0,0,0,0,0,0,78,0,0,0,0,0,0,82,0,0,0,0,0,0
0,31,0,0,0,0,0,0,80,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0
0,25,0,0,0,0,0,0,101,0,0,0,0,0,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0
0,16,0,0,0,0,0,0,35,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,0,0
0,52,0,0,0,0,0,0,64,0,0,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0
0,40,0,0,0,0,0,0,27,0,0,0,0,0,0,32,0,0,0,0,0,0,45,0,0,0,0,0,0
0,18,0,0,0,0,0,0,67,0,0,0,0,0,0,22,0,0,0,0,0,0,104,0,0,0,0,0,0
0,39,0,0,0,0,0,0,46,0,0,0,0,0,0,12,0,0,0,0,0,0,67,0,0,0,0,0,0
0,14,0,0,0,0,0,0,26,0,0,0,0,0,0,44,0,0,0,0,0,0,4,0,0,0,0,0,0
0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,0,0,0,0,45,0,0,0,0,0,0
0,81,0,0,0,0,0,0,15,0,0,0,0,0,0,72,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,62,0,0,0,0,0,0,15,0,0,0,0,0,0
0,19,0,0,0,0,0,0,64,0,0,0,0,0,0,40,0,0,0,0,0,0,54,0,0,0,0,0,0
0,38,0,0,0,0,0,0,30,0,0,0,0,0,0,30,0,0,0,0,0,0,11,0,0,0,0,0,0
0,41,0,0,0,0,0,0,22,0,0,0,0,0,0,21,0,0,0,0,0,0,34,0,0,0,0,0,0
0,38,0,0,0,0,0,0,50,0,0,0,0,0,0,18,0,0,0,0,0,0,61,0,0,0,0,0,0
0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,0,0,0,0,0
0,26,0,0,0,0,0,0,24,0,0,0,0,0,0,11,0,0,0,0,0,0,12,0,0,0,0,0,0
